prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
"HOHO HOHO 43-Inch Full HD Android Smart LED TV, Model HO4306S1 – Black","EGP 10,799.00","EGP 8,699.00",19%,3.7 out of 5
"Pluto 32"" LED TV - Built-in Receiver - 32FXN","EGP 5,720.00","EGP 4,899.00",14%,3.9 out of 5
"Luna Makeup Kit - Nail Polish, Collagen Cream, Lipstick, Mascara, and Eyeliner",EGP 651.00,EGP 399.00,39%,4.3 out of 5
Toshiba GR-RT559WE-PMN-(49)-Pro - Refrigerators 2D 411L (Lixiue Grey) Tropical Compressor - Pure Bio Filter,"EGP 29,699.00","EGP 25,199.00",15%,
"HOHO 50-Inch Frameless 4K UHD Smart Android TV – Built-in Digital Receiver, WiFi, 3 HDMI, 2  USB, HS5006SFL","EGP 16,199.00","EGP 12,999.00",20%,4 out of 5
Grouhy GLD43SA.MGCV2 - 43 Inch Full HD LED Smart Frameless TV With Magic Remote,"EGP 9,499.00","EGP 8,499.00",11%,4.2 out of 5
Skyline 43NF01 - Full HD Frameless LED TV- 43 Inch - Black,"EGP 9,000.00","EGP 7,699.00",14%,5 out of 5
Luna 3D Tan Glow Bronzing Powder  - No 2,EGP 270.00,EGP 169.00,37%,4.5 out of 5
Haj Arafa Body Splash He - 200ML,EGP 415.00,EGP 299.00,28%,5 out of 5
Luna Mono 3D Eye Shadow - Dark Purple Shade 4.5 Gm - No 111,EGP 150.00,EGP 59.00,61%,5 out of 5
Samsung 85 Inch TV Crystal Processor 4K LED - Titan Gray - UA85U8000FUXEG [2025 Model],"EGP 70,999.00","EGP 60,999.00",14%,5 out of 5
"Grouhy GLD43NAV2- 43"" Inch Full HD LED Frameless TV.","EGP 9,349.00","EGP 7,999.00",14%,4.5 out of 5
Beyond Secret Garden Body Splash 250ML,EGP 250.00,EGP 159.00,36%,3.7 out of 5
Haj Arafa Body Splash Laha - 200ML,EGP 415.00,EGP 299.00,28%,3.5 out of 5
"Samsung 55-Inch Neo QLED 4K Smart TV QA55QN70FAUXEG (2025 Model) – Neural Quantum Processor, 100% Color Volume","EGP 45,999.00","EGP 33,999.00",26%,5 out of 5
Grouhy GLD32NAV2 – 32 Inch LED HD TV Frameless,"EGP 5,299.00","EGP 4,799.00",9%,4.7 out of 5
Skyline 43SF01 43 Inch FHD - Smart Frameless LED - TV Black,"EGP 10,000.00","EGP 8,888.00",11%,5 out of 5
Azha Med Concealer 12 ml 01 - Perfect Natural Coverage for Dark Circles,,EGP 349.00,,5 out of 5
"Samsung 55-Inch Neo QLED 4K Smart TV QA55QN85FAUXEG (2025 Model) – Dolby Atmos, Anti-Reflection","EGP 57,999.00","EGP 43,999.00",24%,
Evolve 43 Inch FHD Smart LED TV Frameless With Built-in Receiver - VLD43SD.,"EGP 9,899.00","EGP 8,699.00",12%,4.3 out of 5
Samsung 65 Inch QLED-The Frame 4K Smart TV- QA65LS03FAUXEG [2025 Model],"EGP 59,999.00","EGP 44,999.00",25%,
Haj Arafa Body Splash She - 200ML,EGP 415.00,EGP 299.00,28%,3 out of 5
Evolve VLD43SAWOR - 43 Inch FHD Smart LED TV Frameless,"EGP 9,499.00","EGP 8,399.00",12%,3 out of 5
Samsung 55 Inch QLED-The Frame 4K Smart TV-QA55LS03FAUXEG [2025 Model],"EGP 46,199.00","EGP 35,499.00",23%,
Azha Azha Foundation Box 02 (25 ml) + Concealer 02 (12 ml) – Natural Coverage for Dark Circles,EGP 595.00,EGP 455.00,24%,3.6 out of 5
Skyline 32-22S - 32-inch HD LED Smart TV,"EGP 6,000.00","EGP 5,799.00",3%,5 out of 5
"TOP CHEF  Set, 11 Pieces (pot18/20/24/28/fraying pan22/26/tray26) Grey","EGP 6,999.00","EGP 6,099.00",13%,
Grouhy  50 Inch 4K Android LED Frameless TV - GLD50SAWORV2,"EGP 15,999.00","EGP 14,499.00",9%,
TOP CHEF Milk Pot Granite Size 16 with Glass Lid - Grey,"EGP 1,599.00","EGP 1,400.00",12%,5 out of 5
LC Waikiki U Neck Jersey Men's Vest 2 Pack.,EGP 349.00,EGP 239.00,32%,4.7 out of 5
"HOHO 43-Inch Smart LED TV, FHD, HO4306S2 , Black","EGP 10,920.00","EGP 8,799.00",19%,5 out of 5
Molfix Pants Diapers - Mega Pack - Junior Size 5 - 66 Pieces,EGP 695.00,EGP 479.00,31%,4.4 out of 5
LC Waikiki Patterned Women's Shirt Tunic,EGP 799.00,EGP 439.00,45%,4.7 out of 5
LC Waikiki Crew Neck Pokemon Printed Jersey Men's T-Shirt,EGP 599.00,EGP 499.00,17%,4.6 out of 5
LC Waikiki Regular Fit Long Sleeve Linen Blend Men's Shirt,"EGP 1,299.00",EGP 749.00,42%,4.3 out of 5
LC Waikiki V-Neck Textured Women's T-Shirt,EGP 349.00,EGP 309.00,11%,4.4 out of 5
"Lazord Granite Pro Oven Tray Set - 3 Piece - Size 24, 26, 28 - Black","EGP 1,864.00","EGP 1,518.00",19%,5 out of 5
Molfix Diapers Pants Mega Pack Maxi Size 4 - 76 Pieces,EGP 695.00,EGP 469.00,33%,4.3 out of 5
Azha Foundation 02 - 25 Ml Provides Perfect Natural Coverage To Hide Dark Circles,EGP 395.00,EGP 335.00,15%,3 out of 5
Sensodyne Toothpaste Multi-Care + Whitening - 100 ml,EGP 137.00,EGP 79.00,42%,4.3 out of 5
Molfix 3D Maxi Diapers - Size 4 - 80 Pcs,EGP 695.00,EGP 469.00,33%,4.3 out of 5
"Pluto 65-inch LED TV, 4K,Frameless, Smart, Android-65FLS - KUD65AG-D69 - Gift holder","EGP 25,000.00","EGP 21,499.00",14%,4.3 out of 5
Molfix 3D Maxi Diapers - Size 4 - 80 Pcs,EGP 695.00,EGP 469.00,33%,4.3 out of 5
Sensodyne Toothpaste Multi-Care + Whitening -100 ml - Pack of 6,EGP 792.00,EGP 492.00,38%,4.5 out of 5
Molfix 3D Extra Large Diapers - Size 6 - 64 Pcs,EGP 695.00,EGP 469.00,33%,4.4 out of 5
Sensodyne Toothpaste Deep Clean Gel- 100 ml,EGP 137.00,EGP 79.00,42%,4.4 out of 5
"Sensodyne Toothpaste Rapid Action, 75 ml",EGP 131.00,EGP 79.00,40%,4.4 out of 5
CLOROX for Colors Regular 2L,EGP 135.00,EGP 125.00,7%,4.5 out of 5
Molfix 3D Midi Diapers - Size 3 - 80 Pcs,EGP 695.00,EGP 429.00,38%,4.3 out of 5
Oxi Automatic Lavender Gel for White & Colors - 4 Kg,EGP 462.00,EGP 317.00,31%,4.5 out of 5
CLOROX Clorox Liquid Bleach Lemon 950ML,EGP 29.00,EGP 26.00,10%,4.4 out of 5
Sensodyne Extra Fresh Toothpaste-100 ml,EGP 131.00,EGP 79.00,40%,4.5 out of 5
Molfix Diapers Pants Mega Pack Midi Size 3 - 76 Pieces,EGP 695.00,EGP 429.00,38%,4.3 out of 5
CLOROX for Colors Regular 950ML - Effective Stain Remover and Color Care,EGP 70.00,EGP 64.00,9%,4.1 out of 5
Axe Body Spray for Men Gold Temptation 150ML,EGP 215.00,EGP 135.00,37%,4.3 out of 5
Defacto Male Relax Fit Resort Collar Cotton Short Sleeve Shirt,"EGP 1,299.00",EGP 291.00 - EGP 295.00,78%,4.4 out of 5
LC Waikiki Shawl Collar Women's Cardigan,EGP 549.00,EGP 269.00 - EGP 439.00,51%,4.5 out of 5
Activ Set Of 3 Anklet Socks - Multicolor,EGP 199.00,EGP 149.00,25%,4.4 out of 5
LC Waikiki Crew Neck Printed Jersey Men's T-Shirt,EGP 399.00,EGP 349.00,13%,4.2 out of 5
LC Waikiki Crew Neck Printed Women's T-Shirt,EGP 299.00,EGP 269.00,10%,4.7 out of 5
LC Waikiki Crew Neck Long Sleeve Men's Tricot Sweater,EGP 799.00,EGP 369.00,54%,4.4 out of 5
LC Waikiki Crew Neck Printed Jersey Men's T-Shirt,EGP 399.00,EGP 279.00,30%,4.3 out of 5
L'Oreal Paris eal Paris Elvive Total Repair 5 Shampoo - 400ml,EGP 180.00,EGP 135.00,25%,4.3 out of 5
L'Oreal Paris eal Paris Elvive Extraordinary Oil Shampoo for Very Dry Hair - 400ml,EGP 180.00,EGP 139.00,23%,4.3 out of 5
Sensodyne Extra Fresh Toothpaste - 100 ml - Pack of 6,EGP 785.00,EGP 492.00,37%,4.3 out of 5
CLOROX Liquid Bleach Floral 950ML,EGP 29.00,EGP 26.00,10%,4.6 out of 5
Axe Body Spray for Men Black Night 150ML,EGP 215.00,EGP 139.00,35%,4.3 out of 5
Oxi Brite Powder Detergent Spring - Concentrated - 4 KG + 2 KG,EGP 563.00,EGP 349.00,38%,4.2 out of 5
"Sensodyne Toothpaste Rapid Action, 75 ml *6",EGP 792.00,EGP 492.00,38%,4.5 out of 5
Oxi Lavender Powder Detergent - 4KG - Concentrated +2Kg,EGP 563.00,EGP 386.00,31%,4.4 out of 5
Luna Shower Gel Rose & Milk - 500ml,,EGP 65.00,,4.1 out of 5
L'Oreal Paris eal Paris Elvive Dream Long Reinforcing Shampoo For Weakened Long Hair - 400ml,EGP 180.00,EGP 135.00,25%,4.4 out of 5
Frida Fabric Fresh 4L - Upholstery Cleaner,EGP 244.50,EGP 149.00,39%,4.4 out of 5
Frida Fabric Spring Breeze 4L,EGP 244.50,EGP 149.00,39%,4.4 out of 5
L'Oreal Paris eal Paris Elvive Extraordinary Oil - Oil Replacement - 300ml,EGP 180.00,EGP 145.00,19%,4.2 out of 5
