prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Defacto Regular Fit Crew Neck Printed Short Sleeve T-Shirt,EGP 599.00,EGP 569.00,5%,4.7 out of 5
American Eagle Flex Linen-Blend Pull-On Athletic Fit Easy Pant,"EGP 4,000.00","EGP 1,200.00",70%,2.5 out of 5
Carina Cotton Pantacourt Legging - Comfortable Slim Fit for Every Occasion,EGP 253.00,EGP 196.00,23%,4.7 out of 5
Bigen Bigen Speedy Color - No.882,EGP 255.00,EGP 175.00,31%,4.4 out of 5
CLOROX Clorox Disinfecting Wipes Citrus Blend 10 Wipes,EGP 25.00,EGP 22.00,12%,4.5 out of 5
Carina Cookies Brief Panty,EGP 170.00,EGP 122.00,28%,5 out of 5
Winkies Undershirt Boys Pack Of 3,EGP 285.00 - EGP 306.00,EGP 228.00 - EGP 244.80,20%,4.5 out of 5
Seropipe Seropipe Extreme lashes serum ( Eyelash 10 ml ),EGP 330.00,EGP 245.00,26%,4.5 out of 5
Samsung Galaxy A56 Dual SIM 5G 256GB/8GB 6.7 inches Mobile phone - Awesome Graphite,"EGP 25,890.00","EGP 23,540.00",9%,4.5 out of 5
Infinity Naturals Aloe Vera Gel<br /> 250 ml,EGP 220.00,EGP 162.00,26%,4.4 out of 5
CLOROX Clorox Kitchen Cleaner Original 500ML,EGP 120.00,EGP 109.00,9%,4.5 out of 5
Sanita White Facial Tissue - 200 Tissues,EGP 36.00,EGP 25.00,31%,4 out of 5
Skechers Bobs Unity Sneakers - Black Black,"EGP 7,619.00","EGP 3,197.00 - EGP 3,502.00",58%,4.4 out of 5
Velveta Fabric Softener & Freshener Gel - Sweet Dream Scent - 350ML,EGP 64.00,EGP 35.00,45%,4.4 out of 5
Fiancee Hair Mask 7X1 COCONUT&ARGAN – 450ML,EGP 78.00,EGP 51.00,35%,4.1 out of 5
ADIDAS GRAND COURT 2.0 SHOES,"EGP 6,499.00","EGP 3,578.00",45%,4.8 out of 5
Avuva Vanilla & Coconut Body Bundle – 253ml – 2 PCs,EGP 343.00,EGP 218.00,36%,4.1 out of 5
CLOROX Clorox Liquid Bleach 1.89L,EGP 53.00,EGP 47.00,11%,4.5 out of 5
Avuva Vanilla & Coconut Body Splash – Refreshing Fragrance for Women – 253 ml,EGP 205.50,EGP 131.00,36%,4 out of 5
Defacto Regular Fit 3 Piece Boxers,EGP 599.00,EGP 509.00,15%,4.5 out of 5
Carina Viscose Round Neck Dress,"EGP 1,035.00",EGP 600.00,42%,4.9 out of 5
American Eagle Super Soft Icon V-Neck T-Shirt,"EGP 1,600.00",EGP 420.00,74%,4.6 out of 5
Starville Acne Prone Skin Gel 30 gm,EGP 120.00,EGP 79.00,34%,4.6 out of 5
Testa Toro X8 Basic Sneaker for All-Day Wear - Padded with Cloud Foam Technology,EGP 599.00,EGP 469.00,22%,3.8 out of 5
"American Eagle 24/7 8"" Jogger Short","EGP 3,300.00",EGP 800.00,76%,5 out of 5
American Eagle Flex Original Straight Chino,"EGP 4,000.00","EGP 1,200.00",70%,4.9 out of 5
Carina Slim Fit Cotton Hot Short - Comfortable and Stylish,EGP 180.00,EGP 131.00,27%,4.5 out of 5
ADIDAS IDAS Breaknet Sleek Shoes,"EGP 4,999.00","EGP 2,787.00",44%,5 out of 5
ADIDAS IDAS Women Vl Court 3.0 Shoes -Black,"EGP 5,499.00","EGP 3,052.00",44%,5 out of 5
ADIDAS IDAS Lit48 Tennis Footwear Shoes - Black,"EGP 5,049.00","EGP 2,158.00",57%,5 out of 5
Tornado Hair Expert Hello Shaver Hair Rmoval With smart light,"EGP 4,000.00",EGP 800.00,80%,4.3 out of 5
Eva Eva Skin Care Natural Glow Night Cream 50 gm,EGP 94.00,EGP 68.00,28%,4.2 out of 5
Defacto Men's Seamless 3 Pack Short Socks,EGP 199.00,EGP 169.00,15%,5 out of 5
Samsung Galaxy A36 Dual SIM 5G 256GB/8GB Mobile Phone - Awesome White,"EGP 22,390.00","EGP 18,890.00",16%,4.8 out of 5
Eva Skin Clinic Anti-Ageing Collagen Facial Wash 150 Ml,EGP 147.00,EGP 106.00,28%,4.2 out of 5
American Eagle Flex Loose Pull-On Utility Pant,"EGP 4,000.00","EGP 1,200.00",70%,4.2 out of 5
Sanita Paper Cups - 7 Oz - 50 cups,EGP 81.00,EGP 56.50,30%,4.5 out of 5
Glysolid Body Lotion – Musk – 200ml,EGP 131.00,EGP 92.00,30%,4.3 out of 5
Defacto Diago Comfort Fit High Waist Wide Leg Jeans,,"EGP 1,140.00",,3.3 out of 5
ADIDAS Ultimashow 2.0 Shoes,"EGP 4,199.00","EGP 2,350.00",44%,4.8 out of 5
American Eagle AE Printed Button-Up Poolside Shirt,"EGP 3,300.00",EGP 700.00,79%,5 out of 5
Defacto cto Girls Boxy Fit Mid Sleeve Homewear Knitted Pyjamas,"EGP 799.00 - EGP 2,499.00","EGP 618.00 - EGP 1,048.00",58%,5 out of 5
Defacto Crew Neck Stone Print Short Sleeve T-Shirt,EGP 499.00,EGP 427.00,14%,5 out of 5
Maxell Waves Spray Air Freshener - Tropical - 475ml,EGP 104.00,EGP 64.00,38%,4 out of 5
Velveta Fabric Softener – Sweet Dreams Scent – 2 L,EGP 229.00,EGP 119.00,48%,4.4 out of 5
Desert Men's Chaunky Sole Fashion Sneakers – Printed Design,EGP 739.00,EGP 309.00,58%,3.7 out of 5
Eva Eva Skin Care Evasiline Body Lotion 240 Ml,EGP 141.00,EGP 102.00,28%,4.3 out of 5
Defacto Standard Fit Crew Neck Knitwear Pullover,,EGP 599.00,,
Eva Eva Skin Care Senses Shower Cream Gold Spell 250 Ml,EGP 118.00,EGP 93.50,21%,3.9 out of 5
Sanita Multipurpose Aluminum Foil - 20 m,EGP 155.00,EGP 108.50,30%,4.3 out of 5
Luna Hand Foaming Anti-Bacterial Glycerin & Olive 320 Ml,EGP 90.00,EGP 49.00,46%,4.6 out of 5
Luna Medicated Soap with Boric Acid - 55 GM,EGP 30.00,EGP 16.00,47%,4.3 out of 5
Superkids Roll On Fragrance Free 30 ml,EGP 110.00,EGP 79.00,28%,4.2 out of 5
Hair Code Cream with Biotin – 140 ML,EGP 57.00,EGP 37.00,35%,3.6 out of 5
Underpad Large 30 Pads,EGP 404.00,EGP 282.50,30%,4.4 out of 5
American Eagle AE Stretch High-Waisted Stovepipe Jean,"EGP 4,300.00","EGP 1,100.00",74%,5 out of 5
Nike Court Vision Lo Be Laced Shoes - White,"EGP 9,109.00","EGP 4,154.00",54%,4.6 out of 5
Dosh Hand Wash Purple - 450 Ml,EGP 70.00,EGP 48.00,31%,4.3 out of 5
Private Extra -Thin Feminine Napkin - Normal Size - 18 Pads,EGP 111.00,EGP 77.50,30%,4.6 out of 5
Seropipe Hair Leave In Conditioner 200 ml,EGP 345.00,EGP 255.00,26%,4.1 out of 5
ADIDAS VL Court 3.0 Shoes,"EGP 6,499.00","EGP 3,552.00",45%,3.8 out of 5
Frida Frida Glass 600 ml,EGP 56.50,EGP 34.00,40%,4.4 out of 5
ADIDAS Barreda Shoes,"EGP 5,499.00","EGP 2,929.00",47%,4.6 out of 5
"Kids Sofico Sofiko Shampoo with Argan, Jojoba, and Protein - 300ml",,EGP 155.00,,4.4 out of 5
Defacto Removable Cups Padded Invisible Bra,EGP 599.00,EGP 493.00,18%,1.5 out of 5
Velveta Oxi Stain Remover Spray – 700ml,EGP 187.00,EGP 131.00,30%,4.3 out of 5
ADIDAS GRAND COURT 2.0 SHOES,"EGP 6,499.00","EGP 3,462.00 - EGP 3,578.00",47%,3 out of 5
CLOROX Clorox Liquid Bleach Floral 4L,EGP 96.00,EGP 88.00,8%,4.5 out of 5
ADIDAS MERCEDES - AMG PETRONAS FORMULA ONE TEAM ULTIMASHOW 2.0 SHOES JUNIOR,"EGP 3,399.00","EGP 1,931.00",43%,5 out of 5
Velveta Fabric Softener – Ocean Mist Scent – 2 Kg,EGP 229.00,EGP 116.00,49%,3.8 out of 5
Eva Optimum Care Recipe Nourishing Blend Conditioner Coconut Scent 350 Ml,EGP 147.00,EGP 117.50,20%,4.5 out of 5
Carina (Cookies) Cotton Round Neck Top,EGP 275.00,EGP 216.00,21%,4.8 out of 5
Eva Eva Optimum Care Recipe Radiance Blend Lotion For Normal Skin - Marshmallow Scent 370 Ml,EGP 206.00,EGP 164.00,20%,4.2 out of 5
Defacto Slim Tapered Fit Skinny Leg Jeans,EGP 999.00,EGP 849.00,15%,5 out of 5
American Eagle Stretch High-Waisted Stovepipe Crop Jean,"EGP 4,300.00","EGP 1,290.00",70%,4.5 out of 5
Private Night Sanitary Feminine Napkins Maxi Folded With Wings - 16 Pads,EGP 98.00,EGP 68.50,30%,4.2 out of 5
Cybele New Dip Liner - No. 1 Black,EGP 280.00,EGP 199.00,29%,4.2 out of 5
Glysolid Non-greasy body lotion – 200ml,EGP 131.00,EGP 92.00,30%,4.3 out of 5
Bigen Bigen Hair Color - No.57,EGP 125.00,EGP 89.00,29%,4.5 out of 5
Maxell Floor Cleaner - Crawling Insects Repellent - 1.8Liter,EGP 146.00,EGP 102.50,30%,4.6 out of 5
Glysolid Musk Shower Gel – 300 ml,EGP 101.00,EGP 71.00,30%,4.3 out of 5
Frida Airmatic Neat Air Freshener 250ml,EGP 140.00,EGP 98.00,30%,4.5 out of 5
White Make-up Remover Pads - 80 Pieces,EGP 88.50,EGP 60.50,32%,4.4 out of 5
"Dosh Fresh Scented Shower Gel, Elegance Breeze - 1.8 Litre",EGP 212.00,EGP 129.00,39%,4.3 out of 5
Maxell Spray Degreaser Cleaner - 700ml,EGP 154.00,EGP 93.00,40%,4.5 out of 5
Defacto cto Man Boxy Fit Short Sleeve Knitted T-Shirt,"EGP 1,799.00",EGP 725.00 - EGP 836.00,60%,5 out of 5
Man-zone Max Hold Invisible Fiber Gel – 175 ML,EGP 89.00,EGP 50.00,44%,4.3 out of 5
ADIDAS Ultimashow 2.0 Shoes,"EGP 4,199.00","EGP 2,220.00",47%,4.3 out of 5
Vebix Soft Powder Roll-On – 50ml,EGP 66.00,EGP 46.00,30%,4.1 out of 5
Clorel 4x1 Lavender Scented Cleaning Bleach - 2kg,EGP 70.00,EGP 49.00,30%,4.3 out of 5
Eva Eva Skin Care Evasiline Heel Cream 60 Ml,EGP 83.00,EGP 59.00,29%,4.4 out of 5
Avuva Cherry Blossom Hand & Body Lotion – 63ml,EGP 91.50,EGP 58.00,37%,4.4 out of 5
ADIDAS Runfalcon 5 Shoes Kids,"EGP 3,199.00","EGP 1,827.00",43%,4.9 out of 5
American Eagle Sunchaser Knit Smocked Bodice Midi Dress,"EGP 3,800.00","EGP 1,140.00",70%,5 out of 5
Feba Liquid Dish Cleaner With Apple Scent - 3kg,EGP 176.00,EGP 117.00,34%,4.3 out of 5
Dove Conditioner Relaxing Ritual Lavender Oil and Rosemary Extract 350ml,EGP 170.00,EGP 139.00,18%,3.6 out of 5
Care & More Hand Cream - Fairy Tale 50 ml,EGP 71.00,EGP 50.00,30%,4.3 out of 5
Frida Frida Aquasensation Air Freshener - 460ml,EGP 89.50,EGP 57.00,36%,4.4 out of 5
Dosh Fresh Scented Shower Gel - Deep Moisturizing 1.8 Litre,EGP 212.00,EGP 129.00,39%,4.5 out of 5
L'Oreal Paris eal Paris Hyaluron Expert 2.5% Hyaluronic Acid Eye Serum,EGP 750.00,EGP 439.00,41%,4.2 out of 5
Eva Skin Care Senses Lip Balm Vanilla Coconut 4 Gm,EGP 83.00,EGP 59.00,29%,4.4 out of 5
Carina Pack Of 5 Colored Brief Panties,EGP 485.00,EGP 338.00,30%,4.1 out of 5
American Eagle Poolside Striped Button-Up Shirt,"EGP 3,300.00",EGP 700.00,79%,4.5 out of 5
ADIDAS Runfalcon 5 Running Shoes,"EGP 4,199.00","EGP 2,219.00",47%,4.4 out of 5
Rivoli Purple Hand Wash - 450 ml,EGP 99.00,EGP 59.00,40%,4.7 out of 5
Diva Liquid Hand Wash – Ultra Clean – 500ml,EGP 90.00,EGP 52.00,42%,4.5 out of 5
Cif Cream Cleaner With Micro Crystals Original 750ML,EGP 185.00,EGP 149.00,19%,4.8 out of 5
ADIDAS IDAS Duramo Speed 2 Running Shoes Running Shoes - White,"EGP 7,499.00","EGP 4,075.00",46%,4.8 out of 5
Defacto Slim Fit Dar Kesim Bisiklet Yaka Ribana Kısa Kollu Tişört,EGP 399.00,EGP 341.00,15%,
Care & More Liquid Hand Soap Vanilla Breeze - 350 Ml,EGP 66.00,EGP 46.00,30%,4.1 out of 5
Defacto cto Woman Regular Fit Knitted Short Sleeve T-Shirt,EGP 699.00,EGP 282.00 - EGP 560.00,60%,
American Eagle Striped Slim Fit Oxford Button-Up Shirt.,"EGP 3,800.00","EGP 1,000.00",74%,4.8 out of 5
L'Oreal Paris eal Paris Pure Clay Purifying Gel Wash - 150ml,EGP 319.00,EGP 229.00,28%,4.4 out of 5
Avuva Sudanese Dalka Sugar Paste Hair Removal – 100gm,EGP 45.00,EGP 29.00,36%,4.2 out of 5
Avuva Passion Fruit Body Scrub – 200gm,EGP 257.00,EGP 164.00,36%,4.3 out of 5
White Flexi Extra Soft 300 Tissues 3 Ply- Pack of 2,EGP 81.50,EGP 62.00,24%,4.6 out of 5
Freshdays Long Scented Normal PantyLiners - 24 Pads,EGP 123.00,EGP 86.00,30%,4.3 out of 5
Winkies Undershirt Girls Pack Of 3 - Color May Vary,EGP 285.00 - EGP 306.00,EGP 228.00 - EGP 244.80,20%,4.3 out of 5
White Chef Kitchen Rolls - 6 Rolls - 3 Ply,EGP 115.50,EGP 87.00,25%,4.3 out of 5
"Maybelline Sunkisser Blusher with Vitamin E, Liquid Glow, 12 Summer In The City",EGP 450.00,EGP 335.00,26%,4.5 out of 5
Care & More Soft Cream Glycerin Vanilla & Cookies - 125 Ml,EGP 119.00,EGP 83.50,30%,4.2 out of 5
CLOROX 5x1 Disinfecting Household Cleaner Lemon 700ML,EGP 60.00,EGP 49.00,18%,4.3 out of 5
American Eagle AirFlex+ Slim Straight Jean,"EGP 4,000.00","EGP 1,200.00",70%,4.2 out of 5
Carina (Cookies) Round Neck Solid Top,EGP 230.00,EGP 176.00,23%,4.4 out of 5
Eva Skin Care Foot Scrub Tropical 60 Ml,EGP 88.00,EGP 65.00,26%,4.4 out of 5
American Eagle AirFlex+ Ultrasoft Slim Jean,"EGP 4,000.00","EGP 1,400.00",65%,4.8 out of 5
GLAMY LAB Anti Wrinkles Gel - 50 gm,EGP 450.00,EGP 339.00,25%,4.7 out of 5
Clorel 4x1 Lemon Scented Cleaning Bleach - 4kg,EGP 126.00,EGP 71.00,44%,4.2 out of 5
Nike Promina Footwear Shoes - Blackwhite,"EGP 6,999.00","EGP 4,153.00",41%,4.5 out of 5
Dosh Hand Wash White - 450 Ml,EGP 70.00,EGP 39.00,44%,4.5 out of 5
Lazord Granite Crepe Pan - 30cm - Black,EGP 496.00,EGP 404.00,19%,3.8 out of 5
Defacto Cotton Regular Fit Crew Neck Basic Short Sleeve T-Shirt,EGP 799.00,EGP 276.00,65%,4.7 out of 5
Eva Eva Skin Care Senses Body Splash Mystic Orchid 240 Ml,EGP 259.00,EGP 183.00,29%,4.6 out of 5
Diva Liquid Hand Wash – Ultra Fresh – 500ml,EGP 90.00,EGP 60.00,33%,4.2 out of 5
American Eagle Poolside Printed Button-Up Shirt,"EGP 3,300.00",EGP 700.00,79%,4.5 out of 5
"American Eagle Flex 7"" Lived-In Trekker Short","EGP 3,300.00",EGP 800.00,76%,5 out of 5
Defacto Regular Fıt Bisiklet Yaka Baykuş Desenli Kısa Kollu Tişört,EGP 499.00,EGP 474.00,5%,5 out of 5
American Eagle AE 24/7 Good Vibes Cargo Jogger,"EGP 4,000.00","EGP 1,200.00",70%,5 out of 5
Sanita Club Toilet Tissue - 280 sheet - 3 + 1 Free Roll,EGP 74.00,EGP 52.00,30%,4.2 out of 5
White Go Pack Sterilized Tissues - 120 Tissues - Pack Of 4,EGP 70.50,EGP 52.00,26%,4.6 out of 5
Nike W Court Vision Lo Be Womens Footwear,"EGP 9,049.00","EGP 4,119.00 - EGP 4,154.00",54%,4.8 out of 5
American Eagle AE Classic Polo Shirt,"EGP 2,150.00",EGP 600.00,72%,5 out of 5
Velveta Fabric Softener & Freshener Gel - Extra Mild Scent - 350ml,EGP 64.00,EGP 30.00,53%,4.1 out of 5
Carina Detachable Sleeves with Buttoned Cuffs,EGP 165.00,EGP 111.00,33%,4.3 out of 5
CLOROX Clothes Stain Remover and Color Booster 900ml,EGP 200.00,EGP 175.00,13%,4.6 out of 5
American Eagle Stretch Low-Rise Capri Pant,"EGP 3,300.00",EGP 800.00,76%,5 out of 5
American Eagle AE 24/7 Tech Jogger,"EGP 4,000.00","EGP 1,200.00",70%,5 out of 5
Carina (Cookies) Mid Thigh Slim Shorts,EGP 245.00,EGP 189.00,23%,4.7 out of 5
Eva Skin Clinic Hyaluronic Acid Micellar Water 200 Ml,EGP 259.00,EGP 186.00,28%,4.2 out of 5
Fiancee Hair Mask 7X1LEMON & ALOE – 950ML,EGP 136.00,EGP 89.00,35%,4.4 out of 5
Infinity Hyalu Collagen Cleansing Foam 200 ml,EGP 280.00,EGP 207.00,26%,4.7 out of 5
ADIDAS IDAS Ultrarun 5 Running Shoes,"EGP 6,999.00","EGP 3,711.00",47%,4.5 out of 5
Care & More Hand Cream. Soul beauty 50 ml,EGP 71.00,EGP 50.00,30%,4.2 out of 5
Velveta Powdered Stain Remover – 500gm,EGP 216.00,EGP 108.00,50%,4.1 out of 5
Defacto Boys Regular Fit Knitted Short Sleeve T-Shirt,EGP 699.00,EGP 282.00,60%,4.2 out of 5
Luna Professional Nail Spa - Keratin Cream 10 Ml,EGP 110.00,EGP 55.00,50%,4.2 out of 5
Shave Code Shave Code Normal Skin Shaving Gel – 150 ml,EGP 119.00,EGP 83.50,30%,4.3 out of 5
Sanita Gipsy Facial Tissue - 550 Tissues - 1 Piece,EGP 49.00,EGP 34.50,30%,4 out of 5
Grouhy UW-18026R Wall Fan With Remote - 18 Inch - Multi Color,,"EGP 1,199.00",,4.6 out of 5
Cybele Matte Lipstick - No. 308 Deep Fuchsia,EGP 230.00,EGP 164.00,29%,4.6 out of 5
Bebe New Born Baby Diapers Size 1 - 40 Pcs,EGP 199.00,EGP 139.00,30%,3.9 out of 5
Zecotex Women's Classic Cotton Pajama Set - Grey With Cute Cartoon Print,EGP 782.00,EGP 680.00,13%,5 out of 5
American Eagle AE Poolside Linen-Blend Button-Up Shirt,"EGP 3,300.00",EGP 990.00,70%,
Arjana Pure Virgin Argan Oil - 50 Ml,EGP 350.00,EGP 170.00,51%,4.6 out of 5
Defacto Baby Boy Crew Neck Printed Short Sleeve T-Shirt,EGP 399.00,EGP 379.00,5%,5 out of 5
ADIDAS IDAS Kids Boys And Girls Vl Court 3.0 Shoes Kids -Black,"EGP 3,399.00","EGP 1,932.00",43%,5 out of 5
Eva Skin Care Natural Glow Day Cream With SPF 30 - 50 Gm,EGP 118.00,EGP 85.00,28%,4 out of 5
Carina Woman Black Cotton Round Neck Basic T-Shirt,EGP 385.00,EGP 298.00,23%,4.3 out of 5
Velveta Fabric Softener & Freshener Gel - Ocean Mist Scent - 350 ml,EGP 64.00,EGP 30.00,53%,4.2 out of 5
Freshdays Long Sanitary Napkins - 18 Pads,EGP 93.00,EGP 65.00,30%,4.2 out of 5
Molped Ultra - Fresh & Comfort - Value Pack - Long - 16 Pads,EGP 91.00,EGP 63.00,31%,4.2 out of 5
Desert Fashion chucky sole sneaker for women,EGP 649.00,EGP 269.00,59%,4.2 out of 5
Cybele Matte Sensation Liquid Eyeliner 01 Dark Black,EGP 280.00,EGP 199.00,29%,4 out of 5
Samsung Galaxy A56 Dual SIM 5G 256GB/8GB 6.7 inches Mobile phone - Awesome OLIVE,"EGP 25,890.00","EGP 23,540.00",9%,4 out of 5
Defacto Comfort Straight High Waist Straight Leg Long Jeans,"EGP 1,499.00","EGP 1,284.00",14%,3.7 out of 5
Decathlon Microfibre Towel Size L 80 X 130 Cm,EGP 819.00,EGP 559.00,32%,5 out of 5
Vebix Deodorant Cream Maystic - 25 Ml,EGP 96.00,EGP 67.00,30%,4.3 out of 5
ADIDAS Treadmove Running Shoes,"EGP 3,799.00","EGP 2,141.00",44%,4.1 out of 5
Testa Toro T20 Casual Sneaker - Basic Comfortable Design With Bold Colors,EGP 509.00,EGP 459.00,10%,3.8 out of 5
Sanita Club Toilet Tissue - 280 Sheets - 6 Rolls,EGP 124.00,EGP 87.00,30%,4.3 out of 5
Infinity Retinol Eye Cream 30gm,EGP 410.00,EGP 302.00,26%,4.2 out of 5
Carina Girly Shorts,EGP 215.00,EGP 153.00,29%,4.8 out of 5
Defacto Pedro Slim Fit Jeans,"EGP 1,299.00","EGP 1,049.00",19%,3 out of 5
CLOROX Clorox Disinfecting Wipes Fresh Scent 10 Wipes,EGP 25.00,EGP 23.00,8%,4.7 out of 5
Luna Oxygen Cream - 6% - Vol.20,EGP 25.00,EGP 17.00,32%,3.5 out of 5
American Eagle Stretch Low-Rise Baggy Wide-Leg Pant,"EGP 4,300.00","EGP 1,500.00",65%,5 out of 5
Defacto Cotton Boxy Fit Crew Neck Short Sleeve T-Shirt,EGP 599.00,EGP 509.00,15%,5 out of 5
Brix Multi-Surface and Fabric Cleaner Lemon – 1 Liter,EGP 113.00,EGP 77.00,32%,4.4 out of 5
Defacto Regular Fit Hooded Basic Sweatshirt,EGP 999.00,EGP 940.00,6%,5 out of 5
Fema Powdered Dish Detergent – Apple Scent – 1 Kg,EGP 51.00,EGP 30.00,41%,4.3 out of 5
Sanita Paper Cups - 4 Oz - 50 Cups,EGP 62.00,EGP 43.00,31%,4.4 out of 5
Winkies Printed Set (Singlet & Bikini) Pack Of 2,EGP 336.00 - EGP 364.00,EGP 252.00 - EGP 273.00,25%,3.1 out of 5
Carina  Cookies Bralette,EGP 175.00,EGP 126.00,28%,4 out of 5
Avuva Cherry Blossom Body Bundle – 253ml – 2 PCs,EGP 343.00,EGP 218.00,36%,4.1 out of 5
Decathlon RUN DRY Women's T-Shirt - Black,EGP 509.00,EGP 109.00,79%,4.3 out of 5
American Eagle AE Oversized Logo Graphic T-Shirt,"EGP 2,000.00",EGP 900.00,55%,
"NIVEA Moisturising Cream, Universal All Pourpose Moisturizer for Face Body Hands, Tin 150ml",EGP 195.00,EGP 165.25,15%,4.5 out of 5
ADIDAS IDAS Copa Pure 2 Club Flexible Ground Boots Kids - core black,"EGP 2,799.00","EGP 1,356.00",52%,4.4 out of 5
Maxell Magic Crystal Spray Multi Purpose Cleaner - 700ml,EGP 89.00,EGP 58.00,35%,4.2 out of 5
Carina Woman Black Viscose High Neck Sleeveless Top,EGP 335.00,EGP 255.00,24%,4.6 out of 5
American Eagle AE Stretch Barrel Pant,"EGP 3,800.00","EGP 1,140.00",70%,4.7 out of 5
Carina (Cookies) Cotton Sleeveless Tank Top,EGP 217.00,EGP 164.00,24%,4.5 out of 5
Skechers Track Sneakers - Black Black,"EGP 5,669.00","EGP 2,756.00",51%,4.4 out of 5
Aloe Eva Hair Styling Cream with Aloe Vera 185 Gm,EGP 100.00,EGP 74.00,26%,4.2 out of 5
Defacto Diago Comfort Fit High Waist Straight Leg Jeans,"EGP 1,299.00","EGP 1,099.00",15%,
American Eagle AE Printed Button-Up Poolside Shirt,"EGP 3,300.00",EGP 700.00,79%,5 out of 5
Rivoli Black Hand Wash - 450 ml,EGP 99.00,EGP 57.00,42%,4.5 out of 5
Carina Cookies Mid Thigh Shorts,EGP 245.00 - EGP 320.00,EGP 189.00 - EGP 257.00,23%,4.7 out of 5
Cybele Desire Lipstick Pencil - No. 15 Mahogany,EGP 250.00,EGP 175.00,30%,4.6 out of 5
Carina Cookies Bralette,EGP 175.00,EGP 126.00,28%,3.9 out of 5
Luna Nail Polish Lacquer - 10 Ml - No. 611,EGP 80.00,EGP 39.00,51%,4.1 out of 5
Carina (Cookies) Cotton Slim Legging,EGP 269.00,EGP 211.00,22%,4.5 out of 5
Eva Eva Skin Care Evasiline Hand Scrub Passion 50 Ml,EGP 83.00,EGP 66.00,20%,4.3 out of 5
Sanita Serv U 150 Sheets Interfold towel tissue,EGP 49.00,EGP 34.50,30%,4.7 out of 5
American Eagle AE Stretch Super High-Waisted Ankle Straight Jean,"EGP 4,300.00","EGP 1,500.00 - EGP 2,150.00",65%,5 out of 5
Defacto Regular Fit Polo Shirt Long Sleeve Shirt,"EGP 1,299.00",EGP 973.00,25%,
American Eagle Striped Button-Up Poolside Shirt,"EGP 3,300.00",EGP 990.00,70%,4 out of 5
Carina High Neck Long Sleeve Top - Stylish Women's Casual Wear,EGP 180.00,EGP 131.00,27%,4.2 out of 5
Maxell Crystal Liquid Window Cleaner - Herbal Scent - 700ml,EGP 51.00,EGP 33.00,35%,4.5 out of 5
Cybele Smooth N'Wear Powder Blush No. 17 Corail,,EGP 275.00,,4.7 out of 5
Cybele Cover Up Concealer & Contour - 7Gm – No. 01 Petal,EGP 285.00,EGP 199.00,30%,3.2 out of 5
Frida Sensation Jasmine Air Freshener Spray 460 ml,EGP 89.50,EGP 57.00,36%,4.3 out of 5
American Eagle AirFlex+ Relaxed Straight Jean,"EGP 4,000.00","EGP 1,560.00",61%,3.7 out of 5
ADIDAS IDAS Train Essentials Feelready Novelty T-Shirt-SILGRN,"EGP 1,999.00","EGP 1,193.00",40%,3 out of 5
Maybelline New York Lash Sensational Sky High Mascara - Blue Mist,EGP 595.00,EGP 399.00,33%,4.2 out of 5
"American Eagle Flex 8"" Lived-In Linen-Blend Trekker Short","EGP 3,300.00",EGP 800.00,76%,5 out of 5
Caesar Women Blouse With Long Sleeves,EGP 440.00 - EGP 543.00,EGP 289.00,47%,4.3 out of 5
Defacto Pedro Slim Fit Skinny Leg Jeans,"EGP 1,299.00",EGP 999.00,23%,5 out of 5
Alba Pharma Offer Argento Clear Facial Cleanser 200 ml 1+1,EGP 449.00,EGP 267.00,41%,4.1 out of 5
Defacto Loose Fit Crew Neck Short Sleeve T-Shirt,EGP 799.00,EGP 674.00,16%,5 out of 5
Maxell Waves Spray AirFreshener - Rumba - 475ml,EGP 104.00,EGP 73.00,30%,4.2 out of 5
Defacto Mia Flare Fit Normal Waist Straight Leg Jeans,"EGP 1,499.00","EGP 1,091.00",27%,4.7 out of 5
American Eagle Poolside Printed Button-Up Shirt,"EGP 3,300.00",EGP 990.00,70%,4.7 out of 5
Feba Liquid Dish Cleaner With Lemon Scent - 2kg,EGP 124.00,EGP 83.00,33%,4.2 out of 5
American Eagle Polo Shirt,"EGP 1,600.00",EGP 640.00,60%,5 out of 5
L'Oreal Paris eal Paris Infaillible 24H Fresh Wear Foundation In A Powder 20 Ivory,EGP 920.00,EGP 689.00,25%,3.9 out of 5
Man Look Man Look Shaving Cream With Mint 80 Gm ( Special Offer ),EGP 59.00,EGP 42.00,29%,4.6 out of 5
OSSUM Fantasy Perfume Body Spray for Women - 120 ml,EGP 149.00,EGP 96.00,36%,4.4 out of 5
Decathlon SL 100 Rear LED Bike Light - 2 Lumens for Enhanced Visibility,EGP 639.00,EGP 189.00,70%,5 out of 5
Oxi Softener - Fine fragrance - 2 Litres,EGP 241.00,EGP 139.00,42%,4.3 out of 5
Strongville Hair Shampoo & Conditioner 220 ml,EGP 195.00,EGP 129.00,34%,4.1 out of 5
Carina Cotton Round Neck Top – Perfect for Everyday Style,EGP 275.00,EGP 216.00,21%,4.6 out of 5
Defacto Regular Fit Crew Neck Printed Long Sleeve Blouse,EGP 999.00,EGP 776.00,22%,5 out of 5
ADIDAS Adilette Aqua Slides,"EGP 1,799.00","EGP 1,095.00",39%,5 out of 5
American Eagle AE Classic Polo Shirt,"EGP 2,150.00",EGP 600.00,72%,1 out of 5
