prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Evolve 43 Inch FHD Smart LED TV Frameless With Built-in Receiver - VLD43SD.,9.0,8.0,12.0,4.3
Samsung 65 Inch QLED-The Frame 4K Smart TV- QA65LS03FAUXEG [2025 Model],,44.0,,
Haj Arafa Body Splash She - 200ML,415.0,299.0,28.0,3.0
Evolve VLD43SAWOR - 43 Inch FHD Smart LED TV Frameless,9.0,8.0,12.0,3.0
Samsung 55 Inch QLED-The Frame 4K Smart TV-QA55LS03FAUXEG [2025 Model],,35.0,,
Azha Azha Foundation Box 02 (25 ml) + Concealer 02 (12 ml) – Natural Coverage for Dark Circles,595.0,455.0,24.0,3.6
Skyline 32-22S - 32-inch HD LED Smart TV,6.0,5.0,3.0,5.0
"TOP CHEF  Set, 11 Pieces (pot18/20/24/28/fraying pan22/26/tray26) Grey",,6.0,,
Grouhy  50 Inch 4K Android LED Frameless TV - GLD50SAWORV2,,14.0,,
TOP CHEF Milk Pot Granite Size 16 with Glass Lid - Grey,1.0,1.0,12.0,5.0
LC Waikiki U Neck Jersey Men's Vest 2 Pack.,349.0,239.0,32.0,4.7
"HOHO 43-Inch Smart LED TV, FHD, HO4306S2 , Black",10.0,8.0,19.0,5.0
Molfix Pants Diapers - Mega Pack - Junior Size 5 - 66 Pieces,695.0,479.0,31.0,4.4
LC Waikiki Patterned Women's Shirt Tunic,799.0,439.0,45.0,4.7
LC Waikiki Crew Neck Pokemon Printed Jersey Men's T-Shirt,599.0,499.0,17.0,4.6
LC Waikiki Regular Fit Long Sleeve Linen Blend Men's Shirt,1.0,749.0,42.0,4.3
LC Waikiki V-Neck Textured Women's T-Shirt,349.0,309.0,11.0,4.4
"Lazord Granite Pro Oven Tray Set - 3 Piece - Size 24, 26, 28 - Black",1.0,1.0,19.0,5.0
Molfix Diapers Pants Mega Pack Maxi Size 4 - 76 Pieces,695.0,469.0,33.0,4.3
Azha Foundation 02 - 25 Ml Provides Perfect Natural Coverage To Hide Dark Circles,395.0,335.0,15.0,3.0
Sensodyne Toothpaste Multi-Care + Whitening - 100 ml,137.0,79.0,42.0,4.3
Molfix 3D Maxi Diapers - Size 4 - 80 Pcs,695.0,469.0,33.0,4.3
"Pluto 65-inch LED TV, 4K,Frameless, Smart, Android-65FLS - KUD65AG-D69 - Gift holder",25.0,21.0,14.0,4.3
Sensodyne Toothpaste Multi-Care + Whitening -100 ml - Pack of 6,792.0,492.0,38.0,4.5
Molfix 3D Extra Large Diapers - Size 6 - 64 Pcs,695.0,469.0,33.0,4.4
Sensodyne Toothpaste Deep Clean Gel- 100 ml,137.0,79.0,42.0,4.4
"Sensodyne Toothpaste Rapid Action, 75 ml",131.0,79.0,40.0,4.4
CLOROX for Colors Regular 2L,135.0,125.0,7.0,4.5
Molfix 3D Midi Diapers - Size 3 - 80 Pcs,695.0,429.0,38.0,4.3
Oxi Automatic Lavender Gel for White & Colors - 4 Kg,462.0,317.0,31.0,4.5
CLOROX Clorox Liquid Bleach Lemon 950ML,29.0,26.0,10.0,4.4
Sensodyne Extra Fresh Toothpaste-100 ml,131.0,79.0,40.0,4.5
Molfix Diapers Pants Mega Pack Midi Size 3 - 76 Pieces,695.0,429.0,38.0,4.3
CLOROX for Colors Regular 950ML - Effective Stain Remover and Color Care,70.0,64.0,9.0,4.1
Axe Body Spray for Men Gold Temptation 150ML,215.0,135.0,37.0,4.3
Defacto Male Relax Fit Resort Collar Cotton Short Sleeve Shirt,1.0,291.0,78.0,4.4
LC Waikiki Shawl Collar Women's Cardigan,549.0,269.0,51.0,4.5
Activ Set Of 3 Anklet Socks - Multicolor,199.0,149.0,25.0,4.4
LC Waikiki Crew Neck Printed Jersey Men's T-Shirt,399.0,349.0,13.0,4.2
