prod_name,prc_before_dsc,prc_after_dsc,dsc_percentage,prod_review
Clary Hair Conditioner 300 ml,345.0,255.0,26.0,4.1
Oxi Powder Det Oriental - 2 Kg,199.0,137.0,31.0,4.3
Defacto Fıtted Fitilli Kaşkorse Tişört,399.0,379.0,5.0,3.8
ADIDAS Breaknet 3.0 Shoes,4.0,2.0,44.0,4.7
Superkids Kids Strawberry Milkshake Shampoo 300 ml,150.0,110.0,27.0,4.2
ADIDAS ADIDAS DBF14 Adilette Aqua K Swim Sandals/Slippers - Core Black,1.0,859.0,50.0,4.6
Starville Hyaluronic Acid Serum 30 ml,320.0,199.0,38.0,4.0
ADIDAS Park St 2.0 Shoes,4.0,2.0,45.0,4.6
Frida Oriental Liquid Handwash -4L,382.0,238.0,38.0,4.4
Frida Floor Sea Waves 2L New,142.0,89.0,38.0,4.4
ADIDAS VL Court 3.0 Shoes,3.0,1.0,47.0,4.5
ADIDAS Turnaround Shoes,5.0,3.0,45.0,4.4
ADIDAS Treadmove Running Shoes,3.0,2.0,47.0,4.6
Shaan Soothing Gel 60 gm – Non-Greasy Formula for Oily Skin,100.0,74.0,26.0,4.2
Defacto 100% Cotton Basic T-Shirt,399.0,340.0,15.0,5.0
CLOROX Gel Thick Bleach + Cleaner Mint Freshness 750ML,60.0,54.0,10.0,4.5
Eva Hair Clinic Gold Argan Heat Guard 200 ml,259.0,186.0,28.0,4.0
Defacto Micro Covered Half Padded Underwired Strapless Bra,499.0,427.0,14.0,5.0
Cybele Matte Lipstick - No. 303 Pinky Nude,230.0,164.0,29.0,4.3
Familia Kitchen Towels - 5+1 Pcs,97.0,73.0,25.0,4.3
Such Liquid Dish Wash Lemon 675 Ml,,27.0,,
Luna Nail Polish Lacquer - 10 Ml - No. 605,80.0,39.0,51.0,4.7
Frida Sensation Oud 460 ml,89.0,57.0,36.0,4.4
Renol Hand Soap - Coconut & Milk - 3.2KG,260.0,185.0,29.0,4.3
Starville Roll On Fragrance Free 60 ml,160.0,105.0,34.0,4.5
Clary Hair Booster Shot 30 ml - Intensive Scalp Treatment,500.0,375.0,25.0,4.5
Carina (Cookies) Cotton Sleeveless Tank Top - Black,217.0,164.0,24.0,4.5
L'Oreal Paris eal Paris Elvive Shampoo Total Repair5 for Damage Hair 600ml,240.0,199.0,17.0,4.4
Private Private Sanitary Napkins Soft Cotton Normal With Wings - 30 Pads,130.0,91.0,30.0,4.3
Sherosa Shampoo Silk Protein 600 Ml,,122.0,,
ADIDAS Park St 2.0 Shoes,4.0,2.0,44.0,4.3
Cybele Matte Lipstick - No. 301 Old Pink,230.0,164.0,29.0,4.4
Strongville Hair Cream 120 gm,195.0,129.0,34.0,4.3
Frida Frida Shower Gel Sweet Day 650ml,137.0,85.0,38.0,4.3
Fresh EGK-17000 Electric Glass Kettle - 1.7 Liter - Transparent And Black 2200WATT - Transparent And Black,999.0,799.0,20.0,4.1
Starville Night Care Gel 60 gm,135.0,89.0,34.0,4.1
Oxi Dishwashing Liquid - Green Lemon - 2.5 kg,156.0,98.0,37.0,4.5
Bebem Natural Baby Diapers Mega Pack Maxi Size 4 - 80 Pieces,587.0,440.0,25.0,4.3
"NIVEA MEN Fresh Active Antiperspirant for Men, Fresh Scent, Roll-on 50ml - 72h",100.0,69.0,31.0,4.4
Defacto Regular Fit Crepe Neck Floral Short Sleeve T-Shirt,399.0,379.0,5.0,4.6
CLOROX Clorox Clothes Stain Remover and Color Booster Spray 500ml,130.0,115.0,12.0,4.5
Dove Conditioner Hair Fall 350ml,175.0,125.0,29.0,4.5
Carina Microfiber Wireless Bra - Beige,195.0,136.0,30.0,4.1
Carina (Cookies) Cotton Sleeveless Tank Top,217.0,164.0,24.0,4.5
Frida Wild Berries Liquid Handwash - 4L,382.0,237.0,38.0,4.3
Testa Toro Q3 Classic Neutral-design Shoe - Comfortable and Durable Fashion Footwear,639.0,489.0,23.0,3.8
Sparkle Shower Gel With Soft Cotton 300 Ml,74.0,50.0,32.0,4.5
Superkids Bubble Bath 300 ml,150.0,110.0,27.0,4.1
Dosh Shower Gel Purple - 1L,134.0,92.0,31.0,4.6
Carina (Cookies) Slim Fit Cotton Hot Short,180.0,131.0,27.0,3.9
Aloe Eva Strengthening Hair Oil Replacement With Aloe Vera & Yoghurt Proteins 250 Ml ( Special Offer 25 % ),106.0,84.0,20.0,4.2
ADIDAS IDAS LIT48 Advantage Base Tennis Shoes - Core Black,5.0,2.0,60.0,4.6
Sparkle Shampoo ande Conditioner Shiny Hair 600 Ml,,118.0,,
GLAMY LAB Whitening Cream SPF30 50 gm,460.0,345.0,25.0,4.6
Rivoli Black Shower Gel - 3 L,389.0,267.0,31.0,4.4
Frida Aqua Sensation Sport Air Freshener- 460 ml,89.0,57.0,36.0,4.4
Frida Hands Liquid Hand Wash - North Coast 520 gm Economy,135.0,86.0,36.0,4.3
Aloe Eva Aloe Eva Strengthening Hair Conditioner With Aloe Vera & Moroccan Argan Oil 230 Ml,94.0,70.0,25.0,4.3
Eva Eva Care Facial Wash And Make-Up Remover Enriched With Yoghurt And Cucumber For Oily Skin 150 Ml,83.0,59.0,29.0,4.3
Frida Dishes Green Lemon & Mint 4 KG - Dishwashing Liquid,330.0,210.0,36.0,4.5
Hair Code Wet Look Hair Gel Tube - 100ml,,18.0,,
Brix Lavender Glass Cleaner - 500ml,56.0,33.0,41.0,4.1
Defacto Slim Fit Crew Neck Ribbed Short Sleeve T-Shirt,399.0,379.0,5.0,5.0
Frida Sensation Meadows Air Freshener - 460ml,89.0,57.0,36.0,4.3
Eva Smokers Cleansing Tooth Powder With Charcoal 40 Gm,59.0,42.0,29.0,4.5
Luna 3D Blusher  - 4.5 Gm  - No 501,210.0,99.0,53.0,4.4
Frida Home Cleaning Fragrance Lemoncello 480 ml,72.0,45.0,38.0,4.5
ADIDAS IDAS Crazychaos 2000 Shoes - ftwr white,6.0,3.0,45.0,4.7
Frida Green Valley  Liquid Handwash -2L,210.0,134.0,36.0,4.3
Private Extra-Thin Feminine Napkin - Super Size - 16 Pads,111.0,77.0,31.0,4.5
ADIDAS Tensaur Run 2.0 Shoes Kids,3.0,1.0,43.0,4.5
Carina High Neck Slip On Top - Stylish and Comfortable Women's Wear,280.0,221.0,21.0,4.9
Private Private Maxi Sanitary Feminine Napkins with Wings - Normal Size - 16 Pads,68.0,47.0,30.0,3.9
ADIDAS Run 60s 4.0 Shoes,4.0,2.0,44.0,4.6
Carina Microfiber Wireless Bra - Black,195.0,136.0,30.0,4.0
Carina Cookies Bralette - Comfortable Everyday Bra in Navy,175.0,126.0,28.0,4.4
Bebe Large Baby Diapers Size 4 - 40 Pcs,248.0,173.0,30.0,3.6
ADIDAS Runfalcon 5 Running Shoes,4.0,2.0,44.0,4.3
"Maybelline Lifter Lip Gloss, 006 Reef",570.0,379.0,34.0,4.4
Superkids Curly Hair Gel 250 ml,160.0,119.0,26.0,4.0
Fresh EGK17000 -  LED Kettle - 1.7 Liters – Blue Glass,999.0,770.0,23.0,3.6
Clorel Liquid Color Care - Blue - 1kg,64.0,42.0,34.0,4.3
Eva Optimum Care Recipe Soothing Blend Lotion For Sensitive Skin - Vanilla Scent 370 Ml,206.0,164.0,20.0,4.3
CLOROX Powder Ultra Stain Remover 250gm,65.0,59.0,9.0,4.5
Starville Acne Prone Skin Cream 60 gm,85.0,49.0,42.0,3.8
Eva Eva Hair Clinic Gold Argan Serum With Gold And Argan Oil 90 Ml,259.0,186.0,28.0,4.3
E-Keratin Eva Hair Clinic Keratin Hair Mask 200 Gm,206.0,148.0,28.0,4.3
Aloe Eva Strengthening Hair Oil Replacement with Aloe Vera & Silk Proteins 250ml,106.0,84.0,20.0,4.3
Defacto Sergio Regular Fit Normal Waist Straight Leg Jeans,1.0,1.0,6.0,5.0
Superkids Sunscreen Lotion 200 ml,275.0,205.0,25.0,4.3
Carina Girl Black Microfiber Short Leggings,215.0,153.0,29.0,4.1
"Feba Dish Cleaner For Automatic Dishwashing Salt - 1,5 kg",246.0,165.0,33.0,4.2
"Grouhy USS-18026 Stand Fan, 18 Inch, Black And Yellow",1.0,980.0,25.0,4.4
Sparkle Shampoo Normal Hair 350 Ml,78.0,56.0,28.0,4.0
American Eagle AE Super High-Waisted Ankle Straight Jean,3.0,1.0,74.0,4.8
ADIDAS ADIDAS Men Vl Court 3.0 Shoes -Black,5.0,2.0,47.0,4.8
Renol Furniture Polisher - 460 ml,75.0,59.0,21.0,4.3
ADIDAS URBAN COURT SHOES,3.0,2.0,43.0,4.9
American Eagle AE Oversized Textured T-Shirt,2.0,600.0,70.0,3.0
ADIDAS Barreda Shoes,4.0,2.0,44.0,5.0
Eva Care Eva Skin Care Senses Body Splash Love Tale 240 Ml,259.0,183.0,29.0,4.2
LG 65 inch UHD AI UA85 4K Smart TV AI Magic remote HDR10 webOS25-65UA85006LA.AFU (2025 Model),36.0,26.0,28.0,4.6
Frida Fabric Fresh 2L,151.0,95.0,37.0,4.5
Freshdays Feminine Napkins Daily Long PantyLiners - 48 Pads,195.0,136.0,30.0,4.7
Carina Cookies Brief Panty - Comfortable Women's Underwear,170.0,122.0,28.0,4.1
Feba Antibacterial Liquid Dish Cleaner - 3kg,210.0,139.0,34.0,4.5
Superkids Detangling Hair Spray 120 ml,120.0,89.0,26.0,4.1
Maybelline Fit Me Matte + Poreless – 220 Natural Beige,530.0,335.0,37.0,4.4
White Shoe Wipes - 20 Wipes,46.0,35.0,25.0,4.3
Luna Solar Gel Uv - Top Coat 10 Ml,200.0,99.0,51.0,4.7
Luna Nail Polish Lacquer 10 Ml - No. 613,80.0,39.0,51.0,4.2
CLOROX for Colors Floral 475ML - Stain Remover and Color Care,38.0,34.0,11.0,3.9
Starville Acne Prone Skin Face Mask 10 Sheets,550.0,359.0,35.0,4.9
ADIDAS Grand Court TD Lifestyle Court Casual Shoes,4.0,2.0,44.0,4.9
Eva One Hair Rremoval Cream Enriched With Chamomile For Sensitive Skin 40 Gm,28.0,23.0,18.0,4.3
Garnier SkinActive Hydra Bomb Tissue Mask with Pomegranate & Hyaluronic Acid,110.0,83.0,25.0,4.3
Feba Liquid Dish Cleaner With Apple Scent - 4kg,223.0,149.0,33.0,4.7
Superkids Facial Foam Cleanser 200 ml,150.0,110.0,27.0,4.4
Shaan Lip Balm Cherry 5 gm,100.0,74.0,26.0,4.5
Maybelline Fit Me Matte + Poreless -118 Nude Foundation,530.0,359.0,32.0,4.4
Defacto Regular Fit Crew Neck Short Sleeved T-shirt,399.0,340.0,15.0,5.0
Maxell Crystal Liquid Window Cleaner - Ocean Mist Scent - 700ml,51.0,31.0,39.0,4.4
Eva Skin Care Natural Glow Facial Wash for Oily Skin - 100 ml,77.0,56.0,27.0,4.2
Frida Frida Peach Fragrance All Purpose Home Cleaning - 480 ml,72.0,45.0,38.0,4.5
American Eagle AE Oversized Textured T-Shirt,2.0,600.0,70.0,5.0
Luna Professional Nail Spa Fast Dry Top Coat 10gm,110.0,55.0,50.0,4.5
Brix Pine Floor Cleaner - 3L,187.0,109.0,42.0,4.4
Superkids Hair Serum 100ml,350.0,259.0,26.0,4.1
Frida Shower GEL Coconut & Argan Oil - Moon light 650ml,137.0,95.0,30.0,4.5
White Water Wipes - 50 Wipes,54.0,41.0,25.0,4.4
CLOROX Gel Thick Bleach + Cleaner Citrus Purity 750ML,60.0,53.0,12.0,4.6
Starville Micellar Water 100 ml,75.0,49.0,35.0,4.1
L'Oreal Paris L'Oreal Paris Elvive Hyaluron Moisture Conditioner – 360ml,205.0,169.0,18.0,4.2
Bebe XL Baby Diapers Size 5 - 40 Pcs,279.0,195.0,30.0,3.6
Carina Cookies Bralette,175.0,126.0,28.0,4.1
Kiddy Medium Baby Diapers Size 3 - 64 Pcs,541.0,339.0,37.0,4.3
Defacto cto Man Relax Fit Woven Top Long Sleeve Shirt,1.0,1.0,30.0,5.0
CLOROX Clorox Multipurpose Cleaner 1.89L,70.0,64.0,9.0,4.4
Private Extra Thin Night Feminine Pads With Wings - 7 Pads,59.0,41.0,31.0,4.6
Winkies Singlet Girls Pack of 3 Pieces,264.0,211.0,20.0,4.5
Frida Floor floral 4L New,250.0,158.0,37.0,4.3
Frida Frida Floor Raspberry 2L,142.0,88.0,38.0,4.2
Brix Flowers glass cleaner - 500ml,56.0,35.0,38.0,4.4
"Eva Eva Skin Care Glycerin Soap Enriched With Honey For All Skin Types, Even Sensitive 100 Gm",54.0,37.0,31.0,4.3
"Kids Sofico Sofiko Kids Curly Cream with Argan, Jojoba, and Shea, 200ml",140.0,90.0,36.0,4.5
Desert Sportive Sock Sneakers For Active Lifestyles - Basic Design,589.0,249.0,58.0,4.4
Eva Skin Care Senses Lip Balm Wild Raspberry 4 Gm,83.0,59.0,29.0,4.3
ADIDAS IDAS Women Breaknet 2.0 Shoes -Black,3.0,2.0,44.0,4.4
Samsung 65 Inch TV Crystal Processor 4K LED - Titan Gray - UA65U8000FUXEG [2025 Model],35.0,25.0,29.0,4.4
Testa Toro X6 Minimalist Sneaker - Navy,479.0,199.0,58.0,4.2
Quechua 10 L hiking backpack - NH Arpenaz 50,,409.0,,
Frida Shower GEL Moon light 1.2L,238.0,166.0,30.0,4.4
Defacto Breathable Loose Fit Printed T-Shirt,799.0,674.0,16.0,3.0
Starville Gel SPF50 60 gm,170.0,110.0,35.0,4.4
GLAMY LAB Beautifying Eye Contour Filler 30 gm,450.0,339.0,25.0,4.2
ADIDAS Grand Court 2.0 Shoes,6.0,3.0,47.0,5.0
ADIDAS Run 60s 4.0 Shoes,4.0,2.0,47.0,5.0
Carina Woman White Cotton Round Neck Basic T-Shirt,385.0,298.0,23.0,4.4
Eva Skin Care Evasiline Body Lotion Passion 240ml,141.0,102.0,28.0,4.4
Eva Eva Skin Care Senses Body Splash Musky Jasmine 240 Ml,259.0,183.0,29.0,4.1
Eva Eva Skin Clinic Anti-Ageing Collagen Makeup Remover For Eyes & Lips 150 Ml,235.0,172.0,27.0,4.5
Carina Round Neck Solid Top - Comfortable Cotton Design for Women,230.0,176.0,23.0,4.6
Desert Men Minimalist Lace-up White Flat Sneakers,679.0,269.0,60.0,3.9
Private Maxi Pocket Super Pads - 26 Pcs,120.0,84.0,30.0,4.4
Care & More Body Lotion with Strawberry 150 ml,107.0,75.0,30.0,4.3
Luna Panthenol Shampoo With Neem Oil 200 ml,65.0,46.0,29.0,4.4
Luna Facial Toner Rose Water - 100 Ml,40.0,27.0,33.0,4.3
"Samsung Galaxy A17 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Gray",10.0,9.0,10.0,4.5
Decathlon Men's Breathable Crew Neck Essential Fitness T-Shirt - Blue,509.0,349.0,31.0,4.0
Avuva Black Pastry Washable Hair Removal – 100 gm,45.0,29.0,36.0,4.0
Skechers Bobs Squad Waves Sneakers - White,5.0,3.0,42.0,4.1
Hair Code Gel Ultra Hold 160+30% Free New Jar,46.0,29.0,37.0,3.6
Shaan Nail Care 4 ml,160.0,119.0,26.0,4.2
GLAMY LAB Sun Defender SPF 50+ 50 ml,550.0,415.0,25.0,4.7
Clorel 4x1 Lemon Scented Cleaning Bleach - 2kg,70.0,49.0,30.0,4.3
Nike W Downshifter 13 Womens Footwear,7.0,3.0,54.0,4.8
Nike Downshifter 13 Shoes for Men - Anthracite/Black-Wolf Grey,6.0,3.0,49.0,4.8
Private Night Sanitary Feminine Napkins Maxi Pocket With Wings - 8 Pads,52.0,36.0,31.0,4.3
ADIDAS VL Court 3.0 Shoes,3.0,1.0,43.0,4.7
Glysolid Hand Cream – 80ml,114.0,58.0,49.0,4.4
Private Maxi Pocket Super Sanitary Pads - 50 Pads,227.0,159.0,30.0,4.5
Carina Cookies Brief Panty - Comfortable Women's Underwear,170.0,122.0,28.0,5.0
Feba Liquid Dish Cleaner With Apple Scent - 700gm,49.0,27.0,45.0,4.3
NIVEA Invisible Black & White Silky Smooth Antiperspirant Deodorant Roll-On for Women - 50ml,100.0,69.0,31.0,4.4
ADIDAS Kaptir Base Shoes,4.0,2.0,45.0,4.0
Cybele Rich Cream Lip Stick No. 128 Cuppuccino,210.0,149.0,29.0,4.2
Eva Eva Skin Care Senses Lip Balm Fresh Watermelon 4 Gm,83.0,59.0,29.0,4.7
Eva Eva Skin Care Cream With Honey For Normal Skin 170 Gm,71.0,56.0,21.0,4.3
Sparkle Shampoo Dry Hair 350 Ml,,78.0,,
L'Oreal Paris eal Paris Hyaluron Expert 1.5% Hyaluronic Acid Serum - 15ml,415.0,335.0,19.0,4.0
Frida Floor 4 Litre Pine,250.0,158.0,37.0,4.6
ADIDAS Barreda Shoes,4.0,2.0,44.0,4.6
CLOROX Gel Thick Bleach + Cleaner Floral Magic 750ML,60.0,54.0,10.0,4.4
Luna OFFER Glycerin Soap Pack of TWO 72gm Cotton Flower + Fragrance Free,65.0,45.0,31.0,4.4
Eva Eva Skin Care Moisturizing Shower Cream Enriched With Milk Proteins 250 Ml,118.0,85.0,28.0,4.4
Eva Eva Skin Care Natural Glow Facial Wash For Normal To Dry Skin 100 Ml,77.0,55.0,29.0,4.4
Private Maxi Pocket Normal Pads - 8 Pcs,39.0,27.0,31.0,4.2
ADIDAS Men Vl Court 3.0 Shoes -Black,5.0,2.0,47.0,4.7
Velveta Fabric Softener – Happiness – 3L,327.0,169.0,48.0,4.2
Carina Round Neck Solid Top - Comfortable Women's Casual Wear,230.0,176.0,23.0,4.2
Eva Skin Care Evasiline Heel Cream Passion 60 Ml,83.0,66.0,20.0,4.5
Eva Optimum Care Recipe Silk & Shine Blend Conditioner - Marshmallow Scent 350 ml,147.0,106.0,28.0,4.3
Private Maxi Classic Feminine Napkins with Wings - Super Size - 18 Pads,84.0,59.0,30.0,4.2
Frida North Coast Liquid Handwash -2L,210.0,134.0,36.0,4.5
Defacto Fıtted Fitilli Kaşkorse Tişört,399.0,379.0,5.0,4.5
Defacto Cotton Polo T-Shirt,,581.0,,
Defacto %100 Pamuk Basic Tişört,499.0,469.0,6.0,5.0
E-Keratin Eva Hair Clinic Keratin Conditioner 230 Ml,147.0,108.0,27.0,4.3
ADIDAS Breaknet 3.0 Shoes,,4.0,,
L'Oreal Paris eal Paris Elvive Hyaluron Moisture Plump Serum 150ml,460.0,315.0,32.0,3.7
Eva Eva Skin Care Evasiline Hand Cream 60 Ml,77.0,61.0,20.0,4.3
Cybele Matte Lipstick - No. 310 Wild Red,230.0,164.0,29.0,4.6
Maxell Spray Oven Cleaner - 500 ml,154.0,85.0,45.0,4.4
Carina Cookies Bralette - Comfortable Daily Wear for Women,175.0,126.0,28.0,4.5
ADIDAS Breaknet Sleek Shoes,4.0,2.0,44.0,4.9
Sanita Aluminum Foil Silver/Blue - 5 Meters,70.0,49.0,30.0,4.1
Clorel 2x1 Lemon Scented Bleach - 2kg,63.0,37.0,41.0,4.4
E-Keratin Eva Hair Clinic Keratin Shampoo 230 Ml,141.0,102.0,28.0,4.4
Luna Solar Gel Nail Polish - No.1031 - 10 ml,105.0,49.0,53.0,4.7
CLOROX 5x1 Disinfecting Household Cleaner Lemon 400ML,33.0,29.0,12.0,4.5
Renol Hand Sanitizer Gel with Lemon Fragrance - 250 ml,75.0,35.0,53.0,4.4
Oxi Dishwashing Liquid with Green Lemon Scent – 1 kg,70.0,48.0,31.0,4.4
Oxi Softener - Oriental - 1 Litre,127.0,87.0,31.0,4.0
ADIDAS ADIDAS Vl Court 3.0 Shoes Kids Sportswear Shoes - White,3.0,1.0,43.0,4.7
American Eagle AirFlex+ TENCEL™ Fibers Slim Straight Jean,4.0,1.0,65.0,5.0
CLOROX Clorox Liquid Bleach 1.2L,35.0,30.0,14.0,4.2
Defacto Boxy Fit Polo Collar Polo T-Shirt,799.0,683.0,15.0,5.0
Avuva Cherry Blossom Mini Body Splash – For Women – 55ml,58.0,40.0,30.0,4.0
Defacto cto Woman Oversize Fit Knitted Short Sleeve T-Shirt,599.0,284.0,53.0,3.7
Carina (Cookies) Cotton Slim Legging - Comfortable and Stylish,269.0,211.0,22.0,4.5
Rexona Women Advanced Protection 72H+ Clear Antiperspirant Deodorant Spray - 150ML,197.0,151.0,23.0,4.7
Frida Home  Cleaning Fragrance Beach Dream 480 ml,72.0,44.0,39.0,4.3
Carina High Neck Slip On Top - Stylish and Comfortable Women's Top,280.0,221.0,21.0,3.8
ADIDAS VL Court 3.0 Shoes,5.0,3.0,45.0,5.0
Shaan Lip Balm Strawberry 5 gm,100.0,74.0,26.0,4.5
American Eagle High-Waisted Jegging,3.0,600.0,82.0,4.5
Testa Toro X8 Basic Sneaker for All-Day Wear - Padded with Cloud Foam Technology,599.0,469.0,22.0,3.2
American Eagle AE Flex Linen-Blend Pull-On Athletic Fit Easy Pant,4.0,1.0,70.0,5.0
CLOROX Kitchen Cleaner Lemon 500ML,120.0,108.0,10.0,4.5
White Baby Wet Wipes - 72 Wipes,67.0,57.0,16.0,4.5
Carina Cotton Slim Leggings - Comfortable and Stylish Women's Wear,269.0,211.0,22.0,4.7
American Eagle AirFlex+ Slim Straight Jean,4.0,1.0,70.0,4.7
Luna Lip Balm Deep Care - Hydrating and Protective Stick,50.0,35.0,30.0,4.1
Cybele Smooth N'Wear Powder Blush No. 6 Cuvier,275.0,194.0,29.0,4.6
Dove Conditioner Daily Care 350ml - Nourishing Hair Care,175.0,125.0,29.0,4.8
Eva Eva Skin Care Rose Water Face Toner 100 Ml,47.0,37.0,20.0,4.0
Defacto cto Boys Oversize Fit Woven Top Short Sleeve Shirt,699.0,563.0,19.0,5.0
ADIDAS IDAS Duramo Speed 2 Running Shoes Running Shoes - Grey,7.0,3.0,47.0,4.7
Brix Multi-Surface and Fabric Cleaner Lavender – 1 Liter,113.0,77.0,32.0,4.3
Cybele Rich Cream Lip Stick No. 127 Royal Pink,210.0,149.0,29.0,4.3
Eva Eva Skin Care Evasiline Cuticle Remover 13 Gm,65.0,47.0,28.0,4.0
Care & More Petroleum Jelly for Intensive Care with Coconut - 50 Ml,41.0,29.0,29.0,4.6
Frida Sweet Day Shower Gel – 250 ml,68.0,44.0,36.0,4.6
Frida North Coast Liquid Handwash -4L,382.0,245.0,36.0,4.5
Care & More Body Lotion with Mixed Berries - 150 ml,107.0,75.0,30.0,4.4
Luna 3D Compact Powder - 11 Gm - No 603,285.0,199.0,30.0,3.9
American Eagle Flex Lived-In Cargo Short,3.0,990.0,70.0,5.0
Defacto Cotton T-shirt,,674.0,,
Brix Lemon Floor Cleaner - 3 L,187.0,109.0,42.0,4.5
Garnier Ultra Doux Moisturising Aloe Vera 3-In-1 Hair Food For Normal Hair - 390Ml,345.0,259.0,25.0,4.3
American Eagle AE Flex Original Straight Chino,4.0,1.0,70.0,5.0
ADIDAS Hoops 4.0 Shoes Kids,3.0,2.0,44.0,4.8
Defacto Loose Fit Crew Neck Short Sleeve Printed T-Shirt,,674.0,,
Familia Facial Tissue Pe Multipack 2 Ply - 500 X 3,111.0,83.0,25.0,4.3
L'Oreal Paris L'Oreal Paris Hyaluron Expert Oil Control Deep Cleansing Gel Wash – 200ml,325.0,239.0,26.0,4.2
Carina Pack Of 5 Colored Brief Panties,485.0,338.0,30.0,4.1
Eva Eva Skin Care Senses Shower Cream In The Clouds 250 Ml,118.0,93.0,21.0,4.7
Velveta Concentrated Stain Remover – 1 L,169.0,118.0,30.0,4.5
Testa Toro X12 Luxury Shoe - Minimalist Design for Everyday Wear,608.0,519.0,15.0,4.3
Defacto Pedro Slim Fit Normal Waist Jeans,999.0,949.0,5.0,5.0
Sanita Sanita Charm Round Ear Buds - 100 Pieces,47.0,33.0,30.0,4.3
Bebem Natural Baby Diapers Mega Pack Midi Size 3 - 80 Pieces,587.0,440.0,25.0,4.2
Kiddy New Born Baby Diapers Size 1 - 40 Pcs,241.0,169.0,30.0,4.0
American Eagle AE Everyday Poplin Striped Button-Up Shirt,3.0,1.0,74.0,4.8
Frida Floor Pine - 2 Litres,142.0,90.0,37.0,4.3
"Samsung Galaxy A17 - 6.7"" 128GB/6GB Dual SIM 4G Mobile Phone - Light Blue",10.0,9.0,10.0,3.7
ADIDAS VS Pace 2.0 Shoes Kids,2.0,1.0,42.0,4.2
Comfort Softener Flora Soft Pink 1 Liter Promo,110.0,95.0,14.0,4.2
Testa Toro Q3 Classic Neutral-design Shoe - Built for Comfort,639.0,489.0,23.0,4.0
Starville Roll On Hair Reducer 60 ml,180.0,119.0,34.0,4.6
ADIDAS Barreda Decode Shoes Kids,3.0,2.0,44.0,4.8
Cybele Exotic Lipstick - No. 01,200.0,144.0,28.0,4.2
American Eagle Stretch Super High-Waisted Ankle Straight Jean,4.0,1.0,65.0,5.0
ADIDAS Courtblock Bold Shoes,4.0,2.0,47.0,5.0
Clorel 4x1 Pine Scented Cleaning Bleach - 2kg,70.0,43.0,39.0,4.4
Mesery Sleep Shirt Cotton Thin Strap - Gray,299.0,199.0,33.0,4.3
"Dosh Fresh Scented Shower Gel, Lavender Breeze - 1.8 Litre",212.0,129.0,39.0,4.7
Sunsilk Conditioner Coconut Moisture 350ML,155.0,95.0,39.0,4.3
Brix Toilet Cleaner Blue - 450 ML,80.0,49.0,39.0,4.3
Testa Toro X7 Essential Shoe - Padded Foam for Ultimate Comfort,459.0,349.0,24.0,4.2
Testa Toro Q1 Luxury Casual Shoe – Fresh Design Concept,850.0,689.0,19.0,3.9
ADIDAS IDAS Vl Court 3.0 Shoes,4.0,3.0,40.0,4.9
Frida Frida Shower GEL Moon light 3L,485.0,310.0,36.0,4.4
American Eagle AirFlex+ Athletic Skinny Jean,4.0,1.0,71.0,5.0
Velveta Concentrated Stain Remover – 500g,113.0,59.0,48.0,4.3
American Eagle LIVED IN KHAKI SHORT 9 IN,3.0,800.0,76.0,5.0
Frida Floor Lemon Scent - 2 Litres,142.0,99.0,30.0,4.4
Tolix Toilet Cleaner - 2pieces - 500ml,85.0,75.0,12.0,4.2
Private Extra Thin Night Feminine Pads With Wings - 14 Pads,111.0,77.0,30.0,4.6
Infinity Hyalu Collagen Eye Contour 30 gm,420.0,294.0,30.0,4.3
Eva Hair Control Hair Relaxer Express,235.0,168.0,28.0,3.9
Unionaire RD-320VVA-DHGHUSTO - 310L Defrost Refrigerator - 2 Doors - Silver,13.0,10.0,17.0,3.9
Testa Toro X12 Luxury Shoe - Minimalist Design for Everyday Wear,608.0,519.0,15.0,3.9
Defacto Pedro Slim Fit Skinny Leg Jeans,1.0,1.0,29.0,5.0
Defacto Straight Fit High Waist Jeans,,1.0,,
Freshdays Feminine Napkins Daily Normal PantyLiners - 48 Pads,195.0,136.0,30.0,4.5
Velveta Fabric Softener – Lavender Scent – 2 Kg,229.0,121.0,47.0,4.2
Luna Vanilla Lip Moisturizer - 3.5 Gm,25.0,18.0,28.0,4.0
ADIDAS Ultimashow 2.0 Shoes,4.0,2.0,44.0,4.2
Luna Glycerin Soap Twist Berries 100 Gm,55.0,28.0,49.0,4.2
Carina Woman Black Microfiber Mini Shorts - Comfortable Everyday Wear,235.0,170.0,28.0,4.7
Luna Nail Polish Lacquer No. 609 - 10ml Fast Drying and Long Lasting,80.0,39.0,51.0,5.0
American Eagle AE Oversized Textured T-Shirt,,600.0,,
"American Eagle Flex 10"" Lived-In Cargo Short",3.0,900.0,70.0,5.0
Cybele Matte Lipstick - No.316 Brick Bloom,230.0,164.0,29.0,4.5
Man Look Man look After Shave Balsam With Aloe Vera For Sensitive Skin 125 Gm ( Special Offer ),94.0,75.0,20.0,4.4
Eva Skin Care Senses Exfoliating Lip Scrub Wild Raspberry Flavored 20 Ml,83.0,59.0,29.0,4.3
Carina (Cookies) High Neck Slip On Top,280.0,221.0,21.0,4.9
American Eagle Ne(x)t Level Kick Bootcut Jean.,4.0,1.0,74.0,4.9
Frida Frida Wild Berries Liquid Handwash- 2L,210.0,130.0,38.0,4.4
